wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
1.19,1,3,5,1,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
1.17,0,1,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.0990195135927845
1.1,1,1,5,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.48074069840786
0.94,0,1,1,1,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,8.06225774829855
0.89,1,1,2,0,0,1,0,1,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211102550927978
1.18,1,2,5,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123105625617661
0.67,1,2,2,1,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,8.366600265340756
1.4,0,1,3,0,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.744562646538029
0.92,0,2,1,1,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
0.95,0,1,4,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.291502622129181
0.86,1,1,3,1,0,1,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,8.06225774829855
1.06,1,1,3,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,7.416198487095663
0.22,1,2,4,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.48,1,2,1,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,7.416198487095663
0.51,1,3,3,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,6.082762530298219
0.39,0,2,4,1,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477225575051661
1.23,0,1,2,1,1,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.0
0.79,0,2,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
0.72,0,1,3,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,5.291502622129181
0.96,1,1,2,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.164414002968976
2.29,1,1,4,0,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.708203932499369
1.32,1,1,4,0,1,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,7.416198487095663
0.23,1,2,1,1,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,5.744562646538029
2.42,0,1,2,1,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196152422706632
0.54,0,2,2,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477225575051661
1.6,1,1,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
0.73,1,1,3,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.5677643628300215
0.94,1,2,4,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,4.47213595499958
0.76,0,1,2,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,6.0
1.16,1,1,1,0,0,1,1,1,0,1,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,6.708203932499369
0.49,0,1,3,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.14142842854285
0.38,1,2,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.47213595499958
0.73,0,1,4,1,1,1,0,1,0,1,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,6.928203230275509
1.76,0,1,2,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0990195135927845
0.63,1,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211102550927978
0.87,0,1,2,0,0,1,0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477225575051661
0.93,0,1,1,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196152422706632
0.99,0,1,2,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.795831523312719
0.86,0,1,5,0,0,1,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,6.708203932499369
2.11,0,1,3,1,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.61,1,2,5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.6332495807108
0.38,1,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.47213595499958
0.36,0,2,3,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.656854249492381
0.84,0,1,2,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
1.1,0,1,1,0,0,1,0,1,1,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.47213595499958
1.08,1,1,3,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.830951894845301
0.92,0,1,4,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,6.324555320336759
0.61,1,2,4,0,1,1,1,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.244997998398398
0.86,0,1,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,6.708203932499369
0.8,1,3,1,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.58257569495584
0.32,1,2,2,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.483314773547883
0.8,0,1,2,1,0,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.48074069840786
1.33,0,1,4,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.48074069840786
0.45,1,2,5,0,0,1,1,1,0,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,6.708203932499369
1.46,1,2,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,4.47213595499958
0.22,0,3,4,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,5.0
0.41,1,2,5,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
1.52,1,2,5,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.082762530298219
0.45,1,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,5.916079783099616
1.02,1,3,5,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.385164807134504
