wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
0.22,2,22,3,1,1,1,1,0,1,4,4,4,4,4,5,1,2
0.75,1,16,2,1,2,1,1,0,0,4,4,4,4,4,5,2,2
0.75,1,46,1,5,1,1,1,1,1,4,4,4,4,1,5,1,2
0.9,2,45,2,5,1,2,1,1,1,4,4,4,4,4,5,1,1
1.13,1,20,2,3,2,1,1,0,0,4,4,4,4,4,5,2,2
1.25,2,38,1,3,1,2,1,1,1,4,4,4,4,2,4,1,2
1.27,1,70,1,2,2,1,1,0,0,4,1,1,4,4,5,2,2
0.95,1,53,1,1,2,1,1,0,0,4,4,4,4,4,5,2,2
1.13,1,32,1,4,1,1,1,0,1,4,4,4,4,2,5,1,2
1.64,2,28,2,5,1,2,1,1,1,4,4,4,4,4,5,1,1
1.62,1,23,2,5,2,2,1,1,1,4,4,4,4,1,5,1,1
0.96,2,22,2,5,1,2,1,0,0,2,4,4,4,2,4,1,1
0.89,2,25,3,5,2,2,0,0,0,4,4,4,4,4,5,1,2
1.03,1,25,3,4,1,2,1,0,0,4,4,4,4,4,5,1,1
0.78,2,24,1,4,1,2,1,1,1,4,4,4,4,3,1,1,1
1.58,2,88,1,1,1,2,1,0,0,4,4,4,4,4,5,2,2
0.74,1,35,1,1,2,1,1,0,1,4,4,4,4,4,5,1,1
0.84,2,25,2,5,1,1,1,0,0,4,4,4,4,4,5,1,1
0.97,2,20,2,4,2,2,1,0,0,4,4,4,4,4,5,1,1
0.84,2,25,2,5,1,2,1,0,0,4,4,4,4,4,5,1,1
1.88,2,59,1,4,1,1,1,1,1,4,4,4,1,4,5,1,1
0.57,1,45,1,4,1,1,1,1,1,4,4,4,4,3,6,2,2
1.0,1,35,1,1,2,1,0,0,0,4,4,4,4,4,5,1,2
2.07,1,70,1,1,2,1,1,0,0,4,2,2,4,4,3,2,2
0.72,1,28,1,2,2,2,1,1,1,4,4,4,4,2,5,2,2
0.39,2,22,2,3,1,1,1,0,0,4,4,4,4,4,5,1,3
1.67,1,22,1,3,2,1,0,0,0,4,4,4,4,4,5,1,2
0.87,2,27,3,5,1,1,1,1,1,4,4,4,4,4,5,1,1
1.27,2,22,2,4,1,2,0,0,0,4,4,4,4,4,5,1,1
1.69,1,65,1,1,2,1,0,0,0,4,4,4,4,4,5,2,2
2.42,1,15,1,1,2,2,1,0,0,4,4,4,4,4,5,2,2
0.22,2,22,3,4,2,2,0,0,0,4,4,4,4,4,5,1,2
0.9,2,24,2,5,1,2,1,0,0,4,4,4,4,1,1,1,1
1.28,1,45,1,1,1,1,1,1,1,4,4,4,4,4,5,1,2
0.75,2,16,2,1,2,1,1,0,1,2,4,4,4,2,5,1,1
0.78,1,19,2,4,2,1,1,0,0,4,4,4,4,4,5,1,2
0.34,2,26,3,5,1,1,1,0,1,2,4,4,4,4,5,1,1
1.23,1,45,1,1,1,1,1,0,1,2,1,4,4,4,5,2,2
1.05,1,35,1,3,1,2,1,0,0,4,4,4,4,4,5,1,2
