wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
1.12,1,0.0,0.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0.1904816313028227
0.22,1,0.5,0.5,0,0,0,1,0,1,1,1,1,1,1,0,0,0.12366884299436665
1.14,1,0.0,0.0,0,0,1,0,0,0,1,1,1,1,1,0,1,0.5060197771135149
2.42,0,0.0,0.0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.10029601612894867
1.72,0,0.0,0.75,0,0,1,0,1,1,1,1,1,1,0,0,1,0.6601046208636034
0.73,1,0.0,0.5,0,0,1,0,1,1,1,1,1,1,1,1,1,0.33112562210789265
0.52,1,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,0,0,0.2326232808881239
0.5,0,0.0,0.75,1,0,1,0,0,1,1,1,1,1,1,0,1,0.42170787336756455
1.62,0,0.0,0.0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.33112562210789265
0.41,1,0.5,0.75,0,0,1,0,1,0,1,1,1,0,1,0,0,0.4041369452058934
0.51,0,0.5,0.25,0,0,1,0,1,1,1,1,1,1,0,1,1,0.34981339374796616
2.42,0,0.0,0.25,0,1,1,0,1,1,1,1,1,1,1,0,1,0.42170787336756455
0.67,0,0.0,0.0,1,0,1,0,1,0,1,1,0,0,0,1,1,0.12366884299436665
0.3,1,0.5,0.25,1,0,1,0,1,1,1,1,1,1,1,0,0,0.14646429553945794
1.38,0,0.0,1.0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.1904816313028227
0.84,1,0.0,0.5,1,0,1,0,0,1,1,1,1,0,1,0,1,0.5382574152632154
0.73,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,1,1,0.2731103668336776
0.73,0,0.0,0.75,0,1,0,0,1,0,1,1,1,1,0,0,1,0.7173620069087707
0.74,0,0.5,1.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.6890086661848598
1.3,0,0.0,0.0,0,0,1,1,0,1,1,1,1,1,1,0,1,0.34981339374796616
2.42,0,0.0,0.75,1,0,0,0,0,1,1,1,1,1,1,0,1,0.07629958542132087
0.68,0,0.5,0.25,0,0,1,0,0,1,1,1,1,1,1,0,1,0.2326232808881239
1.08,1,0.0,0.0,0,0,1,0,0,1,1,1,1,1,1,0,1,0.4041369452058934
